Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
10/16/2018,9.203,9.288,9.372,9.161,17.06M,-0.92%,98631.27
10/17/2018,8.941,9.271,9.296,8.815,23.02M,-2.85%,98466.42
10/18/2018,8.705,8.916,9.043,8.705,15.22M,-2.64%,98991.01
10/19/2018,8.629,8.705,8.764,8.595,14.36M,-0.87%,97453.96
10/22/2018,8.324,8.662,8.696,8.324,17.72M,-3.53%,96454.57
10/23/2018,8.324,8.223,8.434,8.206,15.65M,0.00%,94681.70
10/24/2018,7.902,8.324,8.358,7.834,15.91M,-5.07%,93468.99
10/25/2018,8.079,7.885,8.164,7.674,17.02M,2.24%,92692.17
10/26/2018,7.598,8.079,8.113,7.598,15.99M,-5.95%,93747.65
10/30/2018,7.378,7.648,7.674,7.293,21.47M,-2.90%,90541.53
10/31/2018,7.657,7.378,7.716,7.336,28.41M,3.78%,89999.90
11/01/2018,7.462,7.606,7.750,7.403,17.95M,-2.55%,90200.71
11/02/2018,7.919,7.581,8.054,7.555,25.19M,6.12%,92387.41
11/05/2018,8.003,7.919,8.003,7.741,14.74M,1.06%,94123.02
11/06/2018,7.868,8.037,8.088,7.800,13.03M,-1.69%,95947.73
11/07/2018,7.733,7.868,7.944,7.724,12.20M,-1.72%,94727.67
11/08/2018,7.606,7.724,7.784,7.437,12.79M,-1.64%,95493.30
11/09/2018,7.691,7.614,7.691,7.437,9.94M,1.12%,93506.22
11/12/2018,7.336,7.691,7.699,7.336,10.76M,-4.62%,92839.21
11/13/2018,7.437,7.336,7.640,7.336,14.09M,1.38%,91445.28
11/14/2018,7.631,7.437,7.750,7.386,15.32M,2.61%,92708.56
11/15/2018,7.454,7.665,7.665,7.454,15.17M,-2.32%,93287.16
11/16/2018,7.479,7.488,7.564,7.386,12.02M,0.34%,93296.84
11/19/2018,7.403,7.479,7.640,7.378,16.30M,-1.02%,93616.45
11/20/2018,6.955,7.403,7.420,6.938,24.38M,-6.05%,94570.90
11/21/2018,7.023,6.998,7.099,6.837,19.41M,0.98%,91686.35
11/22/2018,6.947,7.031,7.141,6.921,14.63M,-1.08%,92707.95
11/23/2018,6.879,6.938,6.981,6.837,7.66M,-0.98%,92628.80
11/26/2018,6.786,6.905,6.930,6.761,10.25M,-1.35%,93003.27
11/27/2018,6.524,6.778,6.812,6.524,17.29M,-3.86%,93962.35
11/28/2018,6.558,6.550,6.710,6.507,20.88M,0.52%,93516.96
11/29/2018,6.372,6.626,6.693,6.364,27.36M,-2.84%,94070.97
11/30/2018,6.414,6.372,6.558,6.355,28.34M,0.66%,95125.57
12/03/2018,6.871,6.592,7.099,6.592,43.18M,7.13%,95416.03
12/04/2018,6.668,6.812,6.905,6.643,17.27M,-2.95%,94974.45
